size,distance,time,constant b
40,0,1802,602
40,257,1403,386
10,318,1667,416
60,701,1483,283
60,537,1317,351
100,191,1184,334
40,474,2783,333
10,483,2284,217
20,458,1350,300
10,415,2884,301
60,639,1266,266
60,136,1184,350
10,268,2167,301
40,163,1434,450
20,672,1582,300
20,52,1234,385
60,852,1301,317
100,320,1416,183
10,693,1867,317
40,608,1384,284
60,346,1067,216
40,302,1267,233
10,811,3633,250
100,623,1050,217
40,411,1150,267
10,77,1518,200
100,508,933,233
60,196,1350,283
10,270,1417,200
100,215,917,233
20,587,1984,283
60,936,1200,266
40,558,1267,233
20,427,1649,199
100,478,1167,400
100,264,1151,217
20,88,1183,316
40,776,1467,217
40,574,1250,283
40,61,1131,249
60,196,1217,234
20,482,1451,301
20,719,1249,200
60,720,1384,218
60,177,1052,417
10,700,4516,166
20,82,1399,400
40,584,1635,201
60,222,1099,166
100,244,1151,268
100,274,983,300
100,96,968,216
20,96,1816,166
100,293,1000,300
40,105,1451,366
60,135,1049,266
100,413,1118,285
20,872,1899,150
20,706,1501,234
20,300,1716,283
60,690,1218,234
40,266,1300,182
60,405,1200,216
100,673,1100,251
60,715,1500,334
10,132,5934,234
100,530,1150,318
40,651,2584,267
10,308,1834,450
60,592,1200,334
60,135,1083,183
10,104,1601,151
60,80,1384,249
40,475,1366,300
60,228,1033,383
100,541,1284,401
100,425,1567,700
10,192,3966,483
100,353,1301,501
100,801,1100,201
40,695,1267,184
40,453,1250,283
10,447,3634,283
20,766,2250,517
20,565,1267,267
10,215,1900,117
10,292,2818,250
10,180,2300,416
10,88,1499,218
20,307,1501,234
20,328,1367,216
20,569,1583,16
40,962,1551,184
20,467,1717,50
10,562,1383,0
20,344,1417,51
40,274,1500,134
10,434,2501,151
100,220,1233,283
100,169,733,250
