size,distance,time,constant b
40,0,1968,576
100,335,900,283
100,211,917,248
10,46,2500,350
60,345,1267,416
10,582,2883,317
10,524,2718,333
60,433,1450,266
100,413,1117,283
40,436,1566,251
40,524,1268,267
60,132,1166,232
10,62,2150,166
60,218,1267,367
40,403,1584,301
20,112,2049,667
40,457,1569,51
10,400,2100,0
20,258,1983,350
100,497,1250,200
60,606,1034,134
20,440,1567,150
40,684,1400,117
40,900,1417,233
60,577,951,101
40,377,1465,66
10,490,4119,201
10,288,3249,416
60,454,1117,301
40,201,1084,118
100,437,984,17
60,670,1217,167
100,110,733,133
10,441,1701,101
20,417,1966,183
100,359,868,66
60,166,815,182
40,230,1134,367
60,146,917,300
20,299,2618,318
10,617,2217,233
100,210,834,200
40,411,1633,133
100,215,768,84
20,770,1815,249
20,517,1468,134
40,593,1849,133
20,816,1968,100
10,123,2483,0
20,799,1484,201
60,876,1433,183
60,900,1217,118
100,234,900,116
40,668,1617,167
10,627,3784,117
40,601,1417,284
20,567,2601,166
100,647,1367,99
10,564,2249,316
20,368,1502,218
100,377,1016,0
20,60,1483,0
60,355,901,133
40,491,1066,66
20,512,1368,184
20,784,1699,133
40,775,1435,168
40,399,1417,16
10,495,1983,150
40,134,1067,200
20,252,1366,200
60,449,1084,184
60,320,1167,167
60,216,1200,133
60,559,1317,0
10,797,2383,116
10,453,2434,400
10,760,5084,17
100,736,1150,300
10,93,1617,33
60,501,1101,116
40,425,1233,333
100,518,917,101
10,698,2000,266
20,420,1334,67
20,316,1233,284
100,472,1367,200
100,374,1067,367
40,363,1517,133
10,543,3601,83
60,194,1117,183
20,696,1816,83
60,389,1018,100
10,371,1599,183
20,94,1684,34
100,482,1317,116
100,460,916,50
20,490,1551,151
100,342,1001,133
100,179,1049,149
