size,distance,time,constant b
10,0,4135,0
40,619,1873,15
60,323,1183,16
10,312,1734,34
10,156,1834,0
100,223,1216,0
10,633,2383,16
100,445,1000,17
10,495,1751,17
60,447,1333,100
40,565,1750,0
20,745,1684,17
60,695,1000,17
60,585,1067,17
10,402,1583,0
20,339,1267,17
10,458,2751,0
100,381,1249,0
100,202,1201,0
100,188,934,0
40,585,1366,15
10,284,2050,17
60,465,1083,34
10,637,2585,17
60,932,1366,15
20,131,1467,17
10,230,2267,33
60,481,1300,50
60,444,1383,33
100,742,1001,17
10,394,983,0
20,301,1467,134
100,615,1017,16
100,552,867,33
60,316,948,0
20,125,1052,0
60,388,1166,0
10,543,1565,34
20,403,2669,19
10,579,3734,0
60,205,1033,83
20,719,1184,18
60,134,950,51
40,843,1134,16
20,738,1416,0
10,240,2218,17
60,575,1467,183
10,510,1866,16
10,530,2418,283
40,130,1216,33
60,524,1216,33
10,589,2200,17
20,556,2083,318
60,491,1935,18
100,394,833,17
20,338,1467,18
100,574,1167,17
20,115,1768,16
40,235,1031,33
40,61,1030,18
100,543,1022,88
40,460,1350,17
20,535,2150,33
40,412,1217,67
60,633,1684,83
100,441,1049,0
20,231,1167,17
40,559,1434,0
40,582,1733,16
100,468,867,17
10,334,2633,16
60,488,1201,34
100,403,749,17
20,227,1018,0
20,452,2300,16
20,642,1466,99
40,477,1384,0
20,712,2184,17
10,207,1583,0
40,642,1084,117
100,659,999,0
20,950,1768,0
100,687,966,0
20,160,1333,0
10,471,1786,0
40,98,849,48
100,338,951,16
100,663,1016,0
60,54,700,16
100,192,784,17
20,384,1383,16
40,149,932,17
60,433,2035,0
40,790,1200,33
40,592,1217,17
60,136,783,0
40,60,884,17
40,325,1231,49
40,280,1069,19
100,175,633,67
