,Age,20,Gender,female,
CHOICE,
TIMES,559,672,747,632,406,606,454,465,463,380,654,528,699,339,431,496,532,566,623,706,601,522,579,704,518,Count,25,Mean,555,SD,108,Error Rate,46.808510638297875,Errors,22,
SIMPLE PIC,
TIMES,288,322,334,332,343,377,424,832,479,416,362,623,533,404,827,309,306,331,246,338,Count,20,Mean,421,SD,161,Error Rate,4.761904761904762,Errors,1,
COMPLEX,
TIMES,1517,1136,1151,892,1662,1145,1272,984,1230,869,1187,938,1037,1198,891,797,997,1099,965,1156,940,1012,1043,1342,743,Count,25,Mean,1088,SD,208,Error Rate,0,Errors,0,
SIMPLE AUDIO,
TIMES,1019,1113,1215,1022,1125,1151,679,1024,1147,1073,1133,1415,1169,1147,1261,1178,1139,1194,1171,1142,Count,20,Mean,1126,SD,134,Error Rate,9.090909090909092,Errors,2,
