,Age,21,Gender,female,
COMPLEX,
TIMES,13039,3725,2742,3965,2726,3279,1293,2767,1662,2518,2703,1423,1530,1326,1403,3121,1756,1458,1947,1388,1588,1598,1290,2733,2008,Count,25,Mean,2600,SD,2273,Error Rate,3.8461538461538463,Errors,1,
CHOICE,
TIMES,541,531,776,606,509,451,515,463,556,448,514,579,651,508,529,488,491,528,503,480,391,530,512,519,530,Count,25,Mean,526,SD,72,Error Rate,0,Errors,0,
SIMPLE PIC,
TIMES,1094,632,364,299,387,335,382,338,273,338,353,292,307,320,391,326,390,349,330,333,Count,20,Mean,392,SD,176,Error Rate,0,Errors,0,
SIMPLE AUDIO,
TIMES,1080,1000,1096,1036,1134,1056,1096,1080,1078,1060,1092,1038,995,1035,1008,1087,1028,1065,1119,1030,Count,20,Mean,1061,SD,38,Error Rate,0,Errors,0,
