,Age,46,Gender,female,
CHOICE,
TIMES,771,600,504,570,389,850,380,427,571,470,425,384,445,489,559,450,476,438,378,439,414,535,403,482,456,Count,25,Mean,492,SD,113,Error Rate,3.8461538461538463,Errors,1,
SIMPLE PIC,
TIMES,528,408,407,420,385,385,402,405,448,405,467,408,451,431,435,450,429,408,387,385,Count,20,Mean,422,SD,34,Error Rate,0,Errors,0,
COMPLEX,
TIMES,2046,1589,1302,1647,1457,2222,1509,1291,1184,897,1526,1193,1114,1225,1313,1549,1411,1457,1644,1224,1711,1442,1436,1318,1189,Count,25,Mean,1436,SD,279,Error Rate,0,Errors,0,
SIMPLE AUDIO,
TIMES,1141,368,384,377,395,428,376,378,363,343,357,448,325,353,318,350,295,300,362,330,Count,20,Mean,400,SD,174,Error Rate,0,Errors,0,
