,Age,20,Gender,female,
SIMPLE PIC,
TIMES,376,376,245,276,238,259,326,227,289,233,195,221,275,330,268,276,210,232,231,226,Count,20,Mean,265,SD,50,Error Rate,4.761904761904762,Errors,1,
CHOICE,
TIMES,274,699,345,309,316,257,350,392,750,410,391,601,420,393,377,276,318,492,289,286,394,810,346,542,424,Count,25,Mean,418,SD,148,Error Rate,34.21052631578947,Errors,13,
SIMPLE AUDIO,
TIMES,407,303,275,264,268,200,289,295,195,186,301,230,232,262,276,232,317,198,186,229,Count,20,Mean,257,SD,53,Error Rate,0,Errors,0,
COMPLEX,
TIMES,1725,1352,1388,1224,1248,1498,1490,957,423,893,1107,1599,878,1187,1544,672,1754,1972,1413,843,892,912,836,783,803,Count,25,Mean,1176,SD,381,Error Rate,21.875,Errors,7,
