,Age,22,Gender,female,
CHOICE,
TIMES,482,483,422,777,424,406,551,392,409,380,379,441,476,442,418,402,449,367,418,519,413,481,499,487,475,Count,25,Mean,456,SD,80,Error Rate,3.8461538461538463,Errors,1,
COMPLEX,
TIMES,2398,1370,2624,1537,1608,1192,1233,1730,860,2304,1126,939,860,1040,1960,1177,1000,809,810,1162,1301,878,1555,891,791,Count,25,Mean,1326,SD,515,Error Rate,10.714285714285714,Errors,3,
SIMPLE PIC,
TIMES,650,430,654,465,361,441,353,318,278,316,390,433,366,480,311,870,331,420,379,343,Count,20,Mean,429,SD,141,Error Rate,4.761904761904762,Errors,1,
SIMPLE AUDIO,
TIMES,1387,439,337,495,981,740,464,803,383,349,332,370,344,488,497,369,403,364,367,362,Count,20,Mean,514,SD,263,Error Rate,9.090909090909092,Errors,2,
